International plan,Voice mail plan,Account length,Total day charge,Customer service calls,Churn,State,churn_probability,predicted_churn,risk_tier
No,Yes,98,30.87,2,No,HI,0.01,No,Low
No,Yes,141,36.62,1,No,AZ,0.02,No,Low
No,No,46,33.86,3,No,IA,0.0,No,Low
No,No,137,19.55,3,No,CT,0.02,No,Low
No,No,171,45.99,1,Yes,WA,0.82,Yes,Critical
No,No,10,37.77,1,No,VA,0.03,No,Low
No,No,88,10.52,3,No,CO,0.07,No,Low
No,No,82,32.16,3,Yes,TX,0.59,Yes,High
No,No,139,33.32,3,No,SD,0.02,No,Low
No,No,87,29.17,0,No,VA,0.02,No,Low
Yes,No,137,29.58,2,No,NY,0.06,No,Low
No,No,45,13.36,1,Yes,WA,0.75,Yes,Critical
No,No,103,24.02,1,No,TN,0.02,No,Low
No,No,100,40.09,2,No,CT,0.02,No,Low
No,No,110,31.47,3,No,WA,0.03,No,Low
No,No,124,43.23,2,No,NH,0.03,No,Low
No,No,10,31.11,2,No,MT,0.03,No,Low
No,Yes,89,27.8,2,No,NE,0.05,No,Low
No,No,121,35.34,2,No,WA,0.0,No,Low
No,No,101,42.26,3,No,WI,0.01,No,Low
No,Yes,103,31.52,2,No,AR,0.03,No,Low
No,No,51,33.63,1,No,WI,0.03,No,Low
Yes,No,2,22.46,2,Yes,DE,0.77,Yes,Critical
No,No,111,33.51,0,No,NH,0.02,No,Low
No,No,118,26.28,2,No,VA,0.01,No,Low
No,Yes,17,26.03,6,Yes,TN,0.76,Yes,Critical
No,No,130,35.9,2,No,VA,0.01,No,Low
No,No,137,23.99,2,No,AZ,0.0,No,Low
No,Yes,185,25.69,2,No,MT,0.06,No,Low
No,No,101,35.63,3,No,OK,0.01,No,Low
No,Yes,95,41.99,3,No,ID,0.02,No,Low
No,No,126,54.62,1,Yes,KS,0.71,Yes,High
No,No,124,42.76,3,No,MS,0.06,No,Low
Yes,No,97,40.27,0,Yes,WY,0.57,Yes,High
No,No,28,27.15,2,No,TX,0.05,No,Low
Yes,No,90,25.19,4,Yes,WA,0.9,Yes,Critical
No,No,190,25.65,1,No,HI,0.03,No,Low
No,Yes,52,29.05,2,No,AK,0.01,No,Low
No,No,73,43.3,0,No,MD,0.05,No,Low
No,No,98,0.0,4,Yes,SD,0.73,Yes,High
Yes,No,106,22.73,1,Yes,PA,0.86,Yes,Critical
No,No,111,38.23,0,No,NC,0.02,No,Low
No,No,59,25.81,1,No,VT,0.05,No,Low
No,Yes,71,24.04,2,No,KY,0.01,No,Low
No,No,55,48.57,0,Yes,WA,0.94,Yes,Critical
No,No,13,9.93,1,No,LA,0.0,No,Low
No,Yes,136,15.37,0,No,WA,0.01,No,Low
No,No,123,19.45,0,No,ME,0.03,No,Low
No,No,105,25.11,2,No,WI,0.03,No,Low
No,Yes,50,51.46,3,No,TX,0.1,No,Low
No,No,118,23.14,1,No,IA,0.0,No,Low
No,No,73,37.03,1,Yes,VT,0.63,Yes,High
No,No,35,21.11,2,No,HI,0.01,No,Low
No,No,64,35.05,1,No,WY,0.03,No,Low
No,No,63,22.59,3,No,WV,0.01,No,Low
No,Yes,117,17.83,3,No,OK,0.05,No,Low
No,No,115,41.65,1,Yes,CT,0.85,Yes,Critical
No,No,162,31.37,1,No,UT,0.0,No,Low
No,No,89,15.22,3,No,NY,0.02,No,Low
Yes,No,94,40.05,1,No,VA,0.13,No,Low
No,No,129,31.62,4,No,VT,0.06,No,Low
No,No,96,30.52,1,No,PA,0.0,No,Low
No,No,108,19.04,4,Yes,SC,0.85,Yes,Critical
No,Yes,97,28.63,0,No,MI,0.01,No,Low
No,Yes,84,36.43,0,No,VT,0.03,No,Low
No,No,65,41.77,4,Yes,OH,0.45,No,Medium
No,Yes,131,26.62,1,No,VT,0.03,No,Low
Yes,Yes,58,24.28,1,No,IL,0.03,No,Low
No,No,54,19.86,1,No,WI,0.03,No,Low
No,Yes,125,40.14,2,No,GA,0.03,No,Low
No,Yes,72,23.48,2,No,VT,0.01,No,Low
No,No,141,8.82,3,No,CT,0.02,No,Low
No,No,113,13.82,0,No,AZ,0.09,No,Low
No,Yes,20,29.16,0,No,SD,0.06,No,Low
No,No,212,21.42,1,No,CT,0.04,No,Low
Yes,No,99,33.52,4,No,IN,0.24,No,Low
No,No,94,33.0,1,No,OH,0.06,No,Low
No,No,40,19.67,1,No,NY,0.0,No,Low
No,Yes,86,26.72,3,No,NE,0.03,No,Low
No,No,101,45.85,3,Yes,OK,0.84,Yes,Critical
No,No,105,38.66,1,No,HI,0.29,No,Low
Yes,Yes,140,32.11,4,No,MD,0.1,No,Low
No,No,101,0.0,1,No,VT,0.11,No,Low
No,Yes,98,18.79,1,No,TX,0.02,No,Low
No,No,104,28.49,4,No,AZ,0.04,No,Low
No,No,115,22.44,3,No,VA,0.01,No,Low
No,No,70,36.28,1,No,NE,0.02,No,Low
No,No,126,29.82,0,No,KY,0.0,No,Low
No,Yes,87,14.04,3,No,NV,0.02,No,Low
No,No,86,21.34,1,No,MO,0.04,No,Low
No,Yes,1,31.13,0,No,NJ,0.02,No,Low
No,No,133,27.56,1,No,NH,0.02,No,Low
No,No,103,28.32,1,No,NC,0.03,No,Low
No,Yes,131,23.1,1,No,MT,0.02,No,Low
No,No,99,24.19,0,No,LA,0.0,No,Low
No,No,27,30.19,3,No,NV,0.03,No,Low
No,No,141,14.14,1,No,AK,0.01,No,Low
Yes,Yes,29,39.95,2,No,OH,0.2,No,Low
No,No,65,17.97,2,No,NM,0.02,No,Low
Yes,No,81,25.4,3,Yes,MI,0.97,Yes,Critical
No,Yes,37,45.0,0,No,MN,0.05,No,Low
No,Yes,107,27.25,1,No,WY,0.2,No,Low
Yes,Yes,127,16.3,1,No,WY,0.06,No,Low
No,No,78,23.92,0,No,WA,0.04,No,Low
No,No,176,42.65,2,No,RI,0.02,No,Low
Yes,No,96,34.1,2,No,AL,0.09,No,Low
No,Yes,11,35.67,1,No,WV,0.01,No,Low
No,Yes,48,33.66,1,No,WV,0.01,No,Low
No,Yes,47,19.18,2,No,UT,0.02,No,Low
Yes,Yes,89,19.14,0,Yes,IL,0.91,Yes,Critical
No,Yes,83,38.49,1,No,MI,0.04,No,Low
Yes,Yes,126,41.63,4,No,WI,0.07,No,Low
No,No,60,34.54,2,No,ND,0.01,No,Low
No,No,122,23.24,0,No,VT,0.02,No,Low
No,No,136,25.94,1,No,WA,0.03,No,Low
No,Yes,172,46.73,1,No,NC,0.07,No,Low
No,No,102,33.27,1,Yes,ME,0.6,Yes,High
Yes,No,113,34.73,1,No,SD,0.07,No,Low
No,No,79,37.79,3,No,WV,0.04,No,Low
No,Yes,55,37.83,1,No,ID,0.06,No,Low
No,No,160,29.63,0,No,GA,0.01,No,Low
No,No,110,41.23,4,No,FL,0.05,No,Low
No,No,192,37.67,4,No,CO,0.1,No,Low
No,No,93,19.43,0,No,NV,0.0,No,Low
No,Yes,101,37.35,2,No,IN,0.02,No,Low
No,No,77,24.63,2,No,VA,0.02,No,Low
No,Yes,105,40.21,2,No,UT,0.02,No,Low
No,Yes,133,29.58,2,Yes,UT,0.68,Yes,High
No,No,131,18.62,1,No,MO,0.08,No,Low
No,Yes,106,13.87,1,No,CT,0.0,No,Low
No,No,118,22.68,1,No,HI,0.01,No,Low
No,No,125,23.31,1,No,MD,0.03,No,Low
No,No,95,33.49,0,No,VA,0.04,No,Low
No,No,80,33.68,3,No,MT,0.03,No,Low
No,No,145,6.72,0,No,SC,0.03,No,Low
No,No,37,33.92,2,No,CO,0.0,No,Low
No,No,87,26.66,1,No,ID,0.02,No,Low
No,No,69,31.18,3,No,AL,0.0,No,Low
No,No,83,22.51,1,No,CO,0.0,No,Low
No,No,195,10.74,0,No,UT,0.02,No,Low
Yes,Yes,67,30.79,0,Yes,DE,0.93,Yes,Critical
No,Yes,75,19.98,3,No,OH,0.05,No,Low
No,Yes,123,37.18,0,No,RI,0.0,No,Low
No,Yes,41,35.24,1,No,FL,0.03,No,Low
No,No,75,25.6,0,No,OH,0.0,No,Low
Yes,No,76,46.46,1,Yes,MD,0.91,Yes,Critical
Yes,No,86,45.24,1,No,IL,0.36,No,Medium
No,No,140,19.18,0,No,PA,0.04,No,Low
No,No,70,17.8,3,No,AZ,0.02,No,Low
No,No,118,43.04,2,No,HI,0.01,No,Low
No,Yes,66,29.7,1,No,NJ,0.03,No,Low
No,No,78,14.79,0,No,WI,0.03,No,Low
No,Yes,129,34.77,2,No,MD,0.01,No,Low
No,No,6,38.51,3,No,OR,0.05,No,Low
Yes,No,107,39.8,1,No,NV,0.19,No,Low
Yes,No,107,22.66,3,Yes,AR,0.86,Yes,Critical
No,No,138,22.76,1,No,MT,0.01,No,Low
No,No,103,27.23,0,No,CT,0.02,No,Low
No,Yes,116,39.2,0,No,UT,0.01,No,Low
No,No,189,38.66,2,No,GA,0.03,No,Low
No,No,161,12.38,2,No,NV,0.05,No,Low
No,No,1,33.34,1,No,TN,0.04,No,Low
No,No,89,33.51,1,No,DE,0.0,No,Low
No,No,64,37.33,1,No,NY,0.04,No,Low
No,Yes,126,26.08,4,Yes,MT,0.83,Yes,Critical
No,No,129,36.72,2,No,IA,0.01,No,Low
No,Yes,128,37.89,0,No,VT,0.05,No,Low
No,No,114,32.27,1,No,MT,0.01,No,Low
No,No,50,26.3,0,No,NH,0.03,No,Low
No,No,86,23.19,3,No,WV,0.0,No,Low
No,No,96,28.99,1,No,ID,0.03,No,Low
Yes,Yes,57,40.21,2,No,WV,0.04,No,Low
No,No,65,26.16,2,No,OH,0.01,No,Low
No,No,136,42.91,2,No,MD,0.14,No,Low
No,No,116,33.64,1,No,MN,0.0,No,Low
No,No,93,25.91,3,No,NE,0.05,No,Low
No,Yes,142,40.36,3,No,MN,0.01,No,Low
No,No,92,45.15,1,No,NY,0.21,No,Low
No,No,70,33.54,1,No,HI,0.0,No,Low
No,Yes,22,33.85,1,No,MO,0.06,No,Low
No,No,37,39.73,2,No,NV,0.02,No,Low
No,No,51,31.13,1,No,MA,0.0,No,Low
No,No,174,23.7,2,No,NH,0.03,No,Low
No,No,68,36.36,1,Yes,UT,0.64,Yes,High
No,No,130,35.21,1,No,FL,0.01,No,Low
No,No,134,30.12,2,No,CT,0.02,No,Low
No,Yes,108,28.87,2,No,KY,0.02,No,Low
No,No,103,29.5,3,No,NM,0.03,No,Low
No,No,62,27.18,1,No,ND,0.01,No,Low
No,No,162,19.57,2,No,NV,0.02,No,Low
No,No,42,15.67,1,No,ID,0.02,No,Low
No,Yes,155,41.46,2,No,OK,0.09,No,Low
No,No,36,19.91,0,No,IA,0.02,No,Low
No,No,143,37.96,0,Yes,OH,0.58,Yes,High
No,No,81,44.44,1,Yes,IA,0.83,Yes,Critical
Yes,No,138,7.91,4,Yes,DE,0.8,Yes,Critical
No,Yes,103,25.48,0,Yes,CA,0.63,Yes,High
Yes,No,127,41.17,2,Yes,WY,0.94,Yes,Critical
No,No,136,44.1,1,Yes,OR,0.72,Yes,High
No,No,99,37.81,2,No,ME,0.05,No,Low
No,No,95,11.8,0,No,AR,0.07,No,Low
Yes,Yes,118,26.61,4,Yes,ME,0.39,No,Medium
No,No,113,10.4,5,Yes,WV,0.86,Yes,Critical
Yes,No,128,41.68,0,No,PA,0.3,No,Medium
No,No,117,17.39,3,No,HI,0.02,No,Low
No,Yes,48,39.25,3,No,MT,0.03,No,Low
Yes,No,81,38.66,0,No,DC,0.16,No,Low
No,No,140,27.64,1,No,MS,0.01,No,Low
No,Yes,107,37.3,2,No,OH,0.0,No,Low
No,No,56,23.32,1,No,MO,0.01,No,Low
No,No,159,14.91,1,No,TX,0.05,No,Low
No,No,102,46.09,1,No,MD,0.16,No,Low
No,No,106,8.87,2,No,SC,0.03,No,Low
No,No,225,28.12,0,Yes,MI,0.69,Yes,High
No,No,86,37.03,0,No,CO,0.05,No,Low
No,No,169,40.07,1,No,ID,0.17,No,Low
No,Yes,122,34.77,2,No,AZ,0.0,No,Low
No,Yes,52,22.12,2,No,MN,0.06,No,Low
No,Yes,79,17.63,2,No,DE,0.01,No,Low
No,No,135,40.78,2,No,MI,0.04,No,Low
No,No,37,32.49,0,No,CA,0.08,No,Low
No,Yes,161,37.15,1,No,MN,0.03,No,Low
No,No,123,21.88,0,No,CT,0.02,No,Low
No,Yes,80,40.22,2,No,WV,0.01,No,Low
No,No,94,14.6,0,No,WV,0.03,No,Low
No,Yes,105,24.0,1,No,NE,0.0,No,Low
No,Yes,73,33.05,0,No,NC,0.0,No,Low
No,No,112,28.49,2,No,NE,0.06,No,Low
No,No,179,39.87,1,No,IL,0.05,No,Low
No,No,57,26.21,1,No,MA,0.0,No,Low
No,Yes,127,24.34,1,No,AZ,0.02,No,Low
Yes,Yes,122,36.79,1,No,SD,0.11,No,Low
No,Yes,33,27.52,1,No,MT,0.05,No,Low
No,No,94,20.18,3,No,VT,0.07,No,Low
No,No,100,30.45,1,No,UT,0.0,No,Low
No,No,106,25.14,2,No,HI,0.0,No,Low
No,Yes,148,35.56,2,No,DC,0.04,No,Low
No,Yes,120,41.53,0,No,WI,0.06,No,Low
No,Yes,91,29.8,1,No,UT,0.05,No,Low
No,No,86,25.59,1,No,WA,0.01,No,Low
No,Yes,78,33.56,0,No,SD,0.02,No,Low
No,No,94,27.8,1,No,MT,0.02,No,Low
No,No,85,40.27,2,Yes,NJ,0.59,Yes,High
No,No,89,13.99,1,No,CT,0.0,No,Low
No,No,128,36.72,1,No,VA,0.01,No,Low
Yes,No,115,30.6,1,No,NC,0.06,No,Low
No,No,76,24.43,1,No,AK,0.02,No,Low
No,Yes,75,33.69,1,No,MD,0.02,No,Low
No,Yes,82,27.85,2,No,ND,0.0,No,Low
No,No,87,32.22,1,No,IN,0.03,No,Low
No,Yes,115,26.38,0,No,MI,0.01,No,Low
Yes,No,99,41.19,0,Yes,AR,0.45,No,Medium
Yes,Yes,121,43.2,3,No,VT,0.1,No,Low
No,Yes,54,19.04,2,No,WV,0.01,No,Low
No,No,95,33.73,0,No,CT,0.01,No,Low
No,Yes,163,37.33,2,No,OR,0.08,No,Low
No,No,57,28.83,0,No,VT,0.03,No,Low
Yes,No,104,27.27,4,No,RI,0.13,No,Low
No,Yes,83,16.15,0,No,RI,0.0,No,Low
No,No,141,27.22,2,No,NM,0.03,No,Low
No,No,95,33.08,3,No,AL,0.0,No,Low
No,No,184,40.19,1,Yes,MT,0.88,Yes,Critical
No,No,74,26.71,2,No,CT,0.04,No,Low
No,No,67,30.57,0,No,TN,0.0,No,Low
Yes,No,104,25.19,0,No,ID,0.03,No,Low
No,No,149,20.26,4,Yes,NH,0.8,Yes,Critical
No,Yes,154,38.08,0,No,ND,0.0,No,Low
No,Yes,138,3.32,0,No,SC,0.05,No,Low
No,No,117,31.42,1,No,KS,0.02,No,Low
No,No,130,29.97,1,No,ME,0.03,No,Low
No,No,73,41.09,2,No,RI,0.03,No,Low
No,Yes,100,38.2,0,No,WI,0.12,No,Low
No,No,149,35.24,1,No,NC,0.0,No,Low
No,No,29,33.46,2,No,OH,0.04,No,Low
No,No,131,18.85,1,No,WY,0.01,No,Low
No,No,153,20.83,2,No,NJ,0.05,No,Low
No,No,84,38.57,2,No,ND,0.02,No,Low
No,No,133,31.79,2,No,WI,0.01,No,Low
No,No,87,34.82,0,No,NY,0.04,No,Low
No,No,72,28.2,2,No,MO,0.0,No,Low
No,Yes,65,26.88,1,No,MN,0.01,No,Low
No,No,74,38.28,2,No,CO,0.06,No,Low
No,No,116,27.1,6,Yes,MD,0.89,Yes,Critical
No,No,68,29.36,2,No,AR,0.0,No,Low
No,No,68,37.88,3,No,TN,0.0,No,Low
Yes,No,54,36.4,1,No,DE,0.04,No,Low
No,No,107,22.78,3,No,WI,0.01,No,Low
No,No,173,49.61,0,Yes,MN,0.75,Yes,Critical
No,No,110,37.86,1,No,MO,0.05,No,Low
No,No,102,29.67,0,No,VA,0.0,No,Low
No,Yes,91,46.41,1,No,OK,0.06,No,Low
Yes,No,64,38.3,1,Yes,CT,0.84,Yes,Critical
No,Yes,176,48.14,1,No,TN,0.15,No,Low
No,Yes,84,15.25,1,No,WI,0.09,No,Low
No,No,138,21.61,3,No,SD,0.02,No,Low
No,Yes,101,18.0,1,No,ND,0.13,No,Low
No,No,136,24.19,2,No,VA,0.0,No,Low
No,No,111,32.52,2,No,UT,0.05,No,Low
No,Yes,132,34.32,0,No,MA,0.1,No,Low
No,No,128,42.04,3,No,SD,0.11,No,Low
No,Yes,92,41.17,1,No,AL,0.02,No,Low
Yes,No,197,21.64,5,Yes,AL,0.91,Yes,Critical
No,Yes,99,30.45,2,No,SC,0.04,No,Low
No,Yes,106,33.56,3,No,FL,0.01,No,Low
No,No,78,32.83,0,No,UT,0.03,No,Low
No,No,98,29.19,1,No,NY,0.0,No,Low
No,Yes,17,33.75,1,No,MS,0.0,No,Low
No,Yes,56,20.69,1,No,NH,0.0,No,Low
No,No,84,22.13,2,No,VA,0.09,No,Low
No,No,95,34.58,2,No,VT,0.02,No,Low
Yes,No,76,40.97,1,Yes,NV,0.88,Yes,Critical
No,No,93,24.09,0,No,WV,0.01,No,Low
No,No,83,22.92,2,No,WA,0.02,No,Low
No,No,123,27.73,1,No,KS,0.04,No,Low
No,No,64,24.74,1,No,VT,0.06,No,Low
No,No,82,56.07,0,Yes,OK,0.97,Yes,Critical
No,No,110,22.42,1,No,CO,0.01,No,Low
No,Yes,47,33.42,2,No,TN,0.01,No,Low
No,No,115,16.95,2,No,KY,0.04,No,Low
No,No,69,24.41,3,No,PA,0.0,No,Low
No,No,90,6.43,3,No,CT,0.03,No,Low
No,No,98,12.38,3,No,MN,0.04,No,Low
No,Yes,90,16.12,1,No,WY,0.0,No,Low
No,Yes,174,37.71,1,No,PA,0.03,No,Low
No,No,79,45.61,1,Yes,PA,0.71,Yes,High
No,No,99,19.64,7,Yes,VT,0.83,Yes,Critical
No,No,114,34.36,2,No,ID,0.01,No,Low
No,No,141,36.65,1,No,PA,0.02,No,Low
No,No,132,28.88,1,No,NM,0.01,No,Low
No,No,133,34.29,0,No,FL,0.02,No,Low
No,No,133,37.59,4,No,TX,0.23,No,Low
No,Yes,93,37.18,2,No,VT,0.01,No,Low
No,No,140,20.45,4,Yes,OR,0.84,Yes,Critical
No,No,144,47.35,1,Yes,FL,0.89,Yes,Critical
No,Yes,24,40.17,3,No,ID,0.03,No,Low
No,No,54,46.55,1,No,MD,0.32,No,Medium
No,No,50,22.29,5,Yes,WV,0.83,Yes,Critical
No,Yes,92,28.46,4,No,ID,0.23,No,Low
No,No,96,33.61,3,No,NV,0.03,No,Low
No,No,102,29.67,4,No,SC,0.07,No,Low
No,No,99,34.0,3,No,NE,0.01,No,Low
No,Yes,36,25.98,1,No,ME,0.01,No,Low
No,No,70,22.08,1,No,MI,0.05,No,Low
Yes,No,109,45.63,2,Yes,AZ,0.78,Yes,Critical
No,No,100,32.05,2,No,AZ,0.04,No,Low
No,No,80,25.47,2,No,MA,0.03,No,Low
No,No,100,19.7,1,No,SC,0.02,No,Low
No,No,50,22.39,1,No,WV,0.0,No,Low
No,No,105,17.24,1,No,MS,0.08,No,Low
No,Yes,113,25.33,4,No,VA,0.11,No,Low
No,Yes,111,16.46,2,No,MS,0.03,No,Low
No,No,161,18.28,2,No,NM,0.12,No,Low
No,No,70,39.58,0,Yes,TX,0.89,Yes,Critical
No,Yes,97,20.59,3,No,HI,0.02,No,Low
No,No,130,21.13,0,No,WA,0.04,No,Low
No,No,92,26.81,1,No,WI,0.05,No,Low
No,No,119,21.13,0,No,CO,0.02,No,Low
No,No,115,48.69,1,Yes,NV,0.84,Yes,Critical
No,Yes,127,29.41,0,No,VA,0.03,No,Low
No,Yes,153,37.15,0,No,ND,0.05,No,Low
No,No,79,7.12,1,No,HI,0.02,No,Low
No,No,35,44.34,1,No,ND,0.4,No,Medium
No,No,68,38.54,0,No,MN,0.02,No,Low
No,No,60,30.48,1,Yes,DC,0.68,Yes,High
No,Yes,71,29.87,1,No,MT,0.07,No,Low
No,No,124,26.76,3,No,WV,0.0,No,Low
No,No,23,19.23,1,Yes,ME,0.07,No,Low
No,No,225,31.06,1,No,WY,0.15,No,Low
Yes,No,181,27.42,0,Yes,NY,0.96,Yes,Critical
No,No,63,24.23,2,No,VT,0.01,No,Low
Yes,No,54,32.39,2,Yes,NC,0.59,Yes,High
Yes,Yes,80,27.08,1,No,MO,0.07,No,Low
Yes,Yes,118,26.15,1,No,NC,0.1,No,Low
Yes,No,42,30.72,2,No,NJ,0.07,No,Low
No,No,134,34.46,0,No,OH,0.02,No,Low
No,Yes,66,32.44,0,No,TX,0.01,No,Low
No,No,66,34.87,2,No,WA,0.01,No,Low
No,Yes,127,40.05,1,No,TN,0.04,No,Low
No,No,146,32.18,0,No,HI,0.04,No,Low
No,Yes,93,28.37,1,No,WY,0.1,No,Low
No,No,77,41.68,0,Yes,CT,0.79,Yes,Critical
No,No,111,22.54,4,Yes,NM,0.79,Yes,Critical
No,Yes,115,32.69,2,No,AL,0.01,No,Low
Yes,No,115,20.74,2,Yes,MN,0.91,Yes,Critical
No,No,114,32.81,2,No,NC,0.01,No,Low
No,No,106,26.96,0,No,OH,0.01,No,Low
No,No,59,26.11,1,No,CO,0.0,No,Low
Yes,Yes,87,37.67,1,No,ND,0.07,No,Low
No,No,21,41.6,1,No,NY,0.01,No,Low
No,Yes,142,40.77,0,No,WI,0.01,No,Low
No,No,149,41.23,3,Yes,OR,0.85,Yes,Critical
No,Yes,54,19.99,2,No,CO,0.03,No,Low
No,No,88,37.09,1,No,PA,0.01,No,Low
No,Yes,85,24.58,1,No,IL,0.0,No,Low
Yes,No,51,26.11,0,Yes,DE,0.92,Yes,Critical
No,Yes,45,23.09,2,No,MO,0.0,No,Low
No,Yes,146,34.43,1,No,OH,0.01,No,Low
No,Yes,63,25.87,1,No,WI,0.01,No,Low
No,No,72,23.61,1,No,OH,0.02,No,Low
No,No,130,21.59,0,No,TN,0.0,No,Low
No,No,97,28.66,1,No,SD,0.04,No,Low
No,No,54,48.72,1,Yes,NY,0.93,Yes,Critical
No,Yes,160,27.98,1,No,GA,0.05,No,Low
No,No,79,24.48,1,No,TX,0.05,No,Low
No,Yes,92,24.07,0,No,WV,0.1,No,Low
No,No,59,34.73,1,No,MI,0.02,No,Low
No,No,132,27.74,1,No,ND,0.0,No,Low
No,No,93,29.94,2,No,SD,0.02,No,Low
No,Yes,147,43.21,5,No,NJ,0.17,No,Low
No,No,101,29.73,1,No,AK,0.04,No,Low
Yes,No,125,31.84,0,Yes,CT,0.79,Yes,Critical
No,No,63,36.01,3,No,CO,0.02,No,Low
No,No,107,41.12,0,No,MD,0.0,No,Low
No,No,117,27.47,1,No,MN,0.03,No,Low
No,No,124,32.98,0,No,KY,0.01,No,Low
No,No,115,18.65,3,No,NH,0.04,No,Low
Yes,No,156,47.09,1,No,CO,0.22,No,Low
No,No,89,32.66,0,No,KY,0.0,No,Low
No,No,72,33.73,0,No,KY,0.01,No,Low
No,No,53,31.42,2,No,OR,0.02,No,Low
No,No,116,28.53,2,No,SD,0.03,No,Low
No,No,78,23.66,3,No,DE,0.03,No,Low
No,No,56,20.67,1,No,NE,0.02,No,Low
No,Yes,123,45.97,1,No,OH,0.07,No,Low
No,Yes,116,43.01,2,No,AR,0.04,No,Low
No,No,102,34.1,3,No,WI,0.01,No,Low
No,No,95,28.49,2,No,OR,0.02,No,Low
No,No,102,26.61,2,No,VA,0.01,No,Low
No,Yes,89,36.57,1,No,AR,0.0,No,Low
No,No,50,51.29,1,No,CT,0.14,No,Low
No,Yes,93,25.89,7,No,OH,0.09,No,Low
No,No,68,33.22,1,No,WY,0.03,No,Low
No,No,70,35.48,2,No,IL,0.03,No,Low
No,Yes,138,32.32,0,No,MO,0.0,No,Low
No,Yes,112,31.14,0,No,MA,0.01,No,Low
Yes,No,117,9.21,1,Yes,NH,0.92,Yes,Critical
No,Yes,1,35.36,1,No,IA,0.02,No,Low
No,No,70,39.15,1,No,AL,0.0,No,Low
No,Yes,52,33.27,2,No,WV,0.02,No,Low
No,No,105,28.24,2,No,NV,0.02,No,Low
No,Yes,77,23.1,4,Yes,SC,0.71,Yes,High
Yes,No,80,32.15,2,Yes,NC,0.92,Yes,Critical
No,Yes,120,30.24,1,No,NH,0.01,No,Low
No,Yes,54,24.46,2,No,WY,0.01,No,Low
Yes,No,148,25.19,2,No,FL,0.05,No,Low
No,No,119,48.81,2,Yes,PA,0.78,Yes,Critical
No,No,85,28.19,5,Yes,MO,0.72,Yes,High
No,Yes,101,24.5,1,No,KS,0.06,No,Low
No,No,172,29.33,0,No,KY,0.0,No,Low
No,No,80,33.97,1,No,DE,0.01,No,Low
No,No,67,18.55,2,No,WI,0.04,No,Low
No,No,86,29.21,1,No,CO,0.02,No,Low
No,No,107,37.79,1,Yes,NM,0.71,Yes,High
No,No,133,41.79,0,No,DE,0.12,No,Low
No,No,116,27.98,0,No,IL,0.01,No,Low
No,No,63,35.99,0,No,WA,0.06,No,Low
Yes,Yes,119,25.02,0,Yes,MA,0.83,Yes,Critical
Yes,No,133,43.3,0,Yes,OH,0.83,Yes,Critical
Yes,No,94,28.92,1,No,TN,0.08,No,Low
No,No,69,33.17,0,No,MA,0.02,No,Low
No,No,146,25.38,7,Yes,MI,0.86,Yes,Critical
Yes,Yes,142,32.49,0,No,NH,0.07,No,Low
No,No,123,35.17,3,No,MD,0.06,No,Low
No,No,101,40.63,1,Yes,MS,0.87,Yes,Critical
No,No,43,30.48,0,No,AZ,0.0,No,Low
No,No,69,31.5,0,No,IN,0.01,No,Low
Yes,No,15,24.04,2,No,NY,0.11,No,Low
No,No,67,25.93,2,No,WV,0.02,No,Low
No,No,99,24.75,1,No,NY,0.02,No,Low
No,No,46,27.91,1,No,OK,0.04,No,Low
Yes,No,55,37.57,1,No,NC,0.08,No,Low
No,No,39,50.22,1,Yes,KY,0.8,Yes,Critical
No,No,92,23.77,2,No,TX,0.09,No,Low
No,No,56,27.59,4,Yes,CT,0.36,No,Medium
No,No,76,46.36,0,Yes,NE,0.95,Yes,Critical
Yes,Yes,132,34.05,2,No,HI,0.06,No,Low
Yes,Yes,51,23.09,2,No,AK,0.28,No,Low
No,No,27,40.24,1,No,SD,0.13,No,Low
No,No,224,18.94,3,No,ID,0.03,No,Low
Yes,Yes,105,26.54,0,Yes,OK,0.87,Yes,Critical
No,No,117,32.49,2,No,WA,0.0,No,Low
No,No,146,34.92,3,No,VA,0.08,No,Low
Yes,No,147,38.28,0,Yes,WI,0.89,Yes,Critical
No,No,68,42.48,2,Yes,IN,0.9,Yes,Critical
No,No,68,22.37,3,No,NM,0.01,No,Low
No,No,159,46.89,2,Yes,VT,0.88,Yes,Critical
No,Yes,134,24.29,1,No,AZ,0.01,No,Low
No,No,113,35.22,1,No,VT,0.02,No,Low
No,No,132,35.05,1,No,MO,0.0,No,Low
Yes,Yes,93,38.37,1,Yes,NJ,0.88,Yes,Critical
No,Yes,174,28.53,4,Yes,WA,0.69,Yes,High
No,No,61,33.61,2,No,NY,0.0,No,Low
No,Yes,91,28.87,1,No,DC,0.08,No,Low
No,Yes,88,32.4,2,No,NE,0.01,No,Low
No,Yes,88,13.65,2,No,MA,0.02,No,Low
No,No,182,11.75,0,No,NM,0.04,No,Low
No,No,118,32.1,4,No,CO,0.15,No,Low
No,No,103,25.6,8,Yes,NH,0.82,Yes,Critical
No,No,65,32.64,2,No,IL,0.0,No,Low
No,Yes,61,27.83,3,No,UT,0.01,No,Low
No,No,172,35.99,1,No,WV,0.02,No,Low
No,No,72,29.84,1,No,NJ,0.01,No,Low
No,No,113,25.52,2,No,NM,0.0,No,Low
No,No,67,36.64,1,No,NM,0.01,No,Low
No,No,136,17.29,3,No,DE,0.01,No,Low
